ID_TA,closed,inactive,claimed,primary_cus,is_website,photo_count,is_video,cus_rest_rank,cus_rest_count,mail,tel,orig_url,URL_TA
d695231,0,0,1,American,1,76,0,477,511,0,+33 1 40 16 47 81,https://www.tripadvisor.com//Restaurant_Review-g187147-d695231-Reviews-Buffalo_Grill-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d695231-Reviews-Buffalo_Grill-Paris_Ile_de_France.html
d8180306,,0,,Unknown,0,5,0,,,1,,https://www.tripadvisor.com//Restaurant_Review-g187323-d8180306-Reviews-Celtic_Cottage-Berlin.html,https://www.tripadvisor.com//Restaurant_Review-g187323-d8180306-Reviews-Celtic_Cottage-Berlin.html
d13234520,0,0,1,European,1,238,0,795,2624,0,+44 20 3940 1000,https://www.tripadvisor.com/Restaurant_Review-g186338-d13234520-Reviews-Granary_Square_Brasserie-London_England.html,https://www.tripadvisor.com//Restaurant_Review-g186338-d13234520-Reviews-The_Granary_Brasserie-London_England.html
d9597870,,1,,,,,,,,,,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d9597870-Reviews-La_Table_Des_Insolents-Paris_Ile_de_France.html
d1439340,0,0,0,Cafe,0,25,0,898,943,0,,https://www.tripadvisor.com//Restaurant_Review-g187147-d1439340-Reviews-Tours_Notre_Dame-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d1439340-Reviews-Tours_Notre_Dame-Paris_Ile_de_France.html
d4988279,0,0,0,French,1,7,0,5705,6971,0,+33 9 73 65 25 68,https://www.tripadvisor.com//Restaurant_Review-g187147-d4988279-Reviews-Le_Bois_d_Ebene_Chez_Benoit-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d4988279-Reviews-Le_Bois_d_Ebene_Chez_Benoit-Paris_Ile_de_France.html
d1336377,0,0,1,French,1,30,0,6956,6971,1,+33 1 43 72 24 54,https://www.tripadvisor.com//Restaurant_Review-g187147-d1336377-Reviews-La_Baraque-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d1336377-Reviews-La_Baraque-Paris_Ile_de_France.html
d8747125,0,0,1,Greek,1,3,0,1033,1388,0,+30 21 0770 7020,https://www.tripadvisor.com//Restaurant_Review-g189400-d8747125-Reviews-Your_sweet_home-Athens_Attica.html,https://www.tripadvisor.com//Restaurant_Review-g189400-d8747125-Reviews-Your_sweet_home-Athens_Attica.html
d9561771,0,0,0,Vegetarian Friendly,1,39,0,,,1,+48 668 585 555,https://www.tripadvisor.com//Restaurant_Review-g274856-d9561771-Reviews-Zegarmistrzowska-Warsaw_Mazovia_Province_Central_Poland.html,https://www.tripadvisor.com//Restaurant_Review-g274856-d9561771-Reviews-Zegarmistrzowska-Warsaw_Mazovia_Province_Central_Poland.html
d10788740,0,0,0,Italian,1,6,0,298,364,1,+36 80 296 833,https://www.tripadvisor.com//Restaurant_Review-g274887-d10788740-Reviews-Pizza_Raketa-Budapest_Central_Hungary.html,https://www.tripadvisor.com//Restaurant_Review-g274887-d10788740-Reviews-Pizza_Raketa-Budapest_Central_Hungary.html
d4919094,0,0,0,Unknown,1,2,0,,,0,+44 20 7286 4982,https://www.tripadvisor.com//Restaurant_Review-g186338-d4919094-Reviews-Blue_Ginger-London_England.html,https://www.tripadvisor.com//Restaurant_Review-g186338-d4919094-Reviews-Blue_Ginger-London_England.html
d720945,0,0,1,Scottish,1,2081,1,209,545,1,+44 131 225 5613,https://www.tripadvisor.com/Restaurant_Review-g186525-d720945-Reviews-The_Witchery_By_The_Castle-Edinburgh_Scotland.html,https://www.tripadvisor.com//Restaurant_Review-g186525-d720945-Reviews-The_Witchery_by_the_Castle-Edinburgh_Scotland.html
d8262476,0,0,0,Cafe,1,9,0,400,565,1,+36 20 342 2479,https://www.tripadvisor.com//Restaurant_Review-g274887-d8262476-Reviews-Concerto_Cafe-Budapest_Central_Hungary.html,https://www.tripadvisor.com//Restaurant_Review-g274887-d8262476-Reviews-Concerto_Cafe-Budapest_Central_Hungary.html
d7124128,0,0,0,Unknown,0,0,0,,,0,,https://www.tripadvisor.com//Restaurant_Review-g274707-d7124128-Reviews-Chocobamba-Prague_Bohemia.html,https://www.tripadvisor.com//Restaurant_Review-g274707-d7124128-Reviews-Chocobamba-Prague_Bohemia.html
d11633790,0,0,0,Bar,1,1,0,526,763,0,,https://www.tripadvisor.com//Restaurant_Review-g187514-d11633790-Reviews-La_Andaluza_low_cost-Madrid.html,https://www.tripadvisor.com//Restaurant_Review-g187514-d11633790-Reviews-La_Andaluza_low_cost-Madrid.html
d11867015,0,0,1,British,1,51,0,1621,4345,1,+44 20 3019 7177,https://www.tripadvisor.com//Restaurant_Review-g186338-d11867015-Reviews-Clerkenwell_Grind-London_England.html,https://www.tripadvisor.com//Restaurant_Review-g186338-d11867015-Reviews-Clerkenwell_Grind-London_England.html
d3672020,0,0,1,Mediterranean,0,9,0,,,0,,https://www.tripadvisor.com//Restaurant_Review-g187497-d3672020-Reviews-Nosa-Barcelona_Catalonia.html,https://www.tripadvisor.com//Restaurant_Review-g187497-d3672020-Reviews-Nosa-Barcelona_Catalonia.html
d737345,0,0,1,Moroccan,1,483,0,7,63,1,+44 20 7240 1796,https://www.tripadvisor.com/Restaurant_Review-g186338-d1018463-Reviews-Souk-London_England.html,https://www.tripadvisor.com//Restaurant_Review-g186338-d737345-Reviews-Souk_Medina-London_England.html
d8448700,0,0,0,Unknown,0,1,0,,,0,+33 4 78 69 09 52,https://www.tripadvisor.com//Restaurant_Review-g187265-d8448700-Reviews-L_Olympic-Lyon_Rhone_Auvergne_Rhone_Alpes.html,https://www.tripadvisor.com//Restaurant_Review-g187265-d8448700-Reviews-L_Olympic-Lyon_Rhone_Auvergne_Rhone_Alpes.html
d1804870,0,0,1,European,1,657,0,21,375,1,+421 948 109 400,https://www.tripadvisor.com//Restaurant_Review-g274924-d1804870-Reviews-Sky_Bar_Restaurant-Bratislava_Bratislava_Region.html,https://www.tripadvisor.com//Restaurant_Review-g274924-d1804870-Reviews-Sky_Bar_Restaurant-Bratislava_Bratislava_Region.html
d12006420,,1,,,,,,,,,,https://www.tripadvisor.com/Restaurants-g187265-Lyon_Rhone_Auvergne_Rhone_Alpes.html,https://www.tripadvisor.com//Restaurant_Review-g187265-d12006420-Reviews-Les_Mangeurs_de_Toiles-Lyon_Rhone_Auvergne_Rhone_Alpes.html
d5776216,0,0,0,Mediterranean,1,8,0,2777,3541,0,+34 932 11 18 43,https://www.tripadvisor.com//Restaurant_Review-g187497-d5776216-Reviews-Al_Dente-Barcelona_Catalonia.html,https://www.tripadvisor.com//Restaurant_Review-g187497-d5776216-Reviews-Al_Dente-Barcelona_Catalonia.html
d11855366,0,0,1,Spanish,1,92,0,703,4132,1,+34 932 50 45 01,https://www.tripadvisor.com//Restaurant_Review-g187497-d11855366-Reviews-Bodega_Vidrios_y_Cristales-Barcelona_Catalonia.html,https://www.tripadvisor.com//Restaurant_Review-g187497-d11855366-Reviews-Bodega_Vidrios_y_Cristales-Barcelona_Catalonia.html
d11769083,0,0,0,Unknown,0,1,0,,,0,4316884931,https://www.tripadvisor.com//Restaurant_Review-g190454-d11769083-Reviews-Pizzeria_Tomato-Vienna.html,https://www.tripadvisor.com//Restaurant_Review-g190454-d11769083-Reviews-Pizzeria_Tomato-Vienna.html
d5952715,0,0,0,French,1,57,0,1520,6971,0,+33 1 40 19 08 17,https://www.tripadvisor.com//Restaurant_Review-g187147-d5952715-Reviews-Les_Garnements_Bistro_Resto-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d5952715-Reviews-Les_Garnements_Bistro_Resto-Paris_Ile_de_France.html
d10147127,0,0,1,Bar,1,18,0,1393,2424,1,+44 20 7537 7813,https://www.tripadvisor.com//Restaurant_Review-g186338-d10147127-Reviews-The_Ferry_House-London_England.html,https://www.tripadvisor.com//Restaurant_Review-g186338-d10147127-Reviews-The_Ferry_House-London_England.html
d11667248,0,0,0,Unknown,0,1,0,,,0,,https://www.tripadvisor.com//Restaurant_Review-g189180-d11667248-Reviews-Confeitaria_Sao_Joao_da_Foz-Porto_Porto_District_Northern_Portugal.html,https://www.tripadvisor.com//Restaurant_Review-g189180-d11667248-Reviews-Confeitaria_Sao_Joao_da_Foz-Porto_Porto_District_Northern_Portugal.html
d10822625,0,0,0,Cafe,1,17,0,,,1,+49 2759 6770,https://www.tripadvisor.com//Restaurant_Review-g187323-d10822625-Reviews-Peaberries_Cafe-Berlin.html,https://www.tripadvisor.com//Restaurant_Review-g187323-d10822625-Reviews-Peaberries_Cafe-Berlin.html
d7249260,0,0,1,European,1,27,0,508,1559,1,+36 1 267 0302,https://www.tripadvisor.com/Restaurant_Review-g274887-d7249260-Reviews-Andreas_Bistro-Budapest_Central_Hungary.html,https://www.tripadvisor.com//Restaurant_Review-g274887-d7249260-Reviews-Mensa_Andreas-Budapest_Central_Hungary.html
d12064491,0,0,1,Quick Bites,1,36,0,1381,1852,0,+44 20 8679 1635,https://www.tripadvisor.com//Restaurant_Review-g186338-d12064491-Reviews-The_Rookery_Cafe-London_England.html,https://www.tripadvisor.com//Restaurant_Review-g186338-d12064491-Reviews-The_Rookery_Cafe-London_England.html
d8338351,0,0,0,Cafe,0,22,0,,,0,+39 02 861477,https://www.tripadvisor.com//Restaurant_Review-g187849-d8338351-Reviews-Caffett_Dante-Milan_Lombardy.html,https://www.tripadvisor.com//Restaurant_Review-g187849-d8338351-Reviews-Caffett_Dante-Milan_Lombardy.html
d8352929,0,0,0,Cafe,1,22,0,,,0,+49 40 28468062,https://www.tripadvisor.com//Restaurant_Review-g187331-d8352929-Reviews-Kraweel-Hamburg.html,https://www.tripadvisor.com//Restaurant_Review-g187331-d8352929-Reviews-Kraweel-Hamburg.html
d12032989,0,0,1,Cafe,1,6,0,574,898,1,+420 732 507 170,https://www.tripadvisor.com//Restaurant_Review-g274707-d12032989-Reviews-Cafe_Nova_doba-Prague_Bohemia.html,https://www.tripadvisor.com//Restaurant_Review-g274707-d12032989-Reviews-Cafe_Nova_doba-Prague_Bohemia.html
d11857524,0,0,1,American,1,280,0,32,511,1,+33 9 81 36 42 76,https://www.tripadvisor.com/Restaurant_Review-g187147-d11857524-Reviews-Melt_Oberkampf-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d11857524-Reviews-Melt-Paris_Ile_de_France.html
d3507877,0,0,1,Bar,1,38,0,719,2424,1,+44 20 7371 2721,https://www.tripadvisor.com//Restaurant_Review-g186338-d3507877-Reviews-The_Bird_In_Hand-London_England.html,https://www.tripadvisor.com//Restaurant_Review-g186338-d3507877-Reviews-The_Bird_In_Hand-London_England.html
d719850,0,0,0,French,0,0,0,5602,6971,0,+33 1 43 87 55 03,https://www.tripadvisor.com//Restaurant_Review-g187147-d719850-Reviews-Prosper-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d719850-Reviews-Prosper-Paris_Ile_de_France.html
d10088997,0,0,0,Peruvian,1,0,0,60,72,1,+34 935 25 43 43,https://www.tripadvisor.com//Restaurant_Review-g187497-d10088997-Reviews-Nasca-Barcelona_Catalonia.html,https://www.tripadvisor.com//Restaurant_Review-g187497-d10088997-Reviews-Nasca-Barcelona_Catalonia.html
d953797,0,0,1,American,1,1070,0,146,821,1,+44 20 7287 1000,https://www.tripadvisor.com//Restaurant_Review-g186338-d953797-Reviews-Planet_Hollywood-London_England.html,https://www.tripadvisor.com//Restaurant_Review-g186338-d953797-Reviews-Planet_Hollywood-London_England.html
d10547215,0,0,1,French,1,11,0,5121,6971,1,+33 1 45 49 31 55,https://www.tripadvisor.com//Restaurant_Review-g187147-d10547215-Reviews-Varenne_36-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d10547215-Reviews-Varenne_36-Paris_Ile_de_France.html
d8535535,0,0,0,American,1,1,0,422,511,0,+33 1 73 70 40 64,https://www.tripadvisor.com//Restaurant_Review-g187147-d8535535-Reviews-Subway-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d8535535-Reviews-Subway-Paris_Ile_de_France.html
d8506168,0,0,1,French,1,219,0,23,219,1,+31 20 737 3051,https://www.tripadvisor.com//Restaurant_Review-g188590-d8506168-Reviews-The_French_Connection-Amsterdam_North_Holland_Province.html,https://www.tripadvisor.com//Restaurant_Review-g188590-d8506168-Reviews-The_French_Connection-Amsterdam_North_Holland_Province.html
d6609067,0,0,0,Irish,1,5,0,353,798,0,+353 1 497 9329,https://www.tripadvisor.com//Restaurant_Review-g186605-d6609067-Reviews-Cafe_Moda-Dublin_County_Dublin.html,https://www.tripadvisor.com//Restaurant_Review-g186605-d6609067-Reviews-Cafe_Moda-Dublin_County_Dublin.html
d3625426,0,0,1,Bar,1,32,0,750,2424,1,+44 20 7248 5750,https://www.tripadvisor.com/Restaurant_Review-g186338-d3953745-Reviews-Williamson_s_Tavern-London_England.html,https://www.tripadvisor.com//Restaurant_Review-g186338-d3625426-Reviews-Williamson_s_Tavern-London_England.html
d6708258,0,0,0,Cafe,1,11,0,459,898,0,+420 212 241 171,https://www.tripadvisor.com//Restaurant_Review-g274707-d6708258-Reviews-Koala_Cafe-Prague_Bohemia.html,https://www.tripadvisor.com//Restaurant_Review-g274707-d6708258-Reviews-Koala_Cafe-Prague_Bohemia.html
d10805315,0,0,0,Pizza,1,1,0,709,787,0,+33 9 73 13 83 87,https://www.tripadvisor.com//Restaurant_Review-g187147-d10805315-Reviews-Snack_Boetie-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d10805315-Reviews-Snack_Boetie-Paris_Ile_de_France.html
d3331669,0,0,1,Polish,1,112,0,60,652,1,+48 721 212 219,https://www.tripadvisor.com//Restaurant_Review-g274772-d3331669-Reviews-Golonkarnia_Bar_Restauracja-Krakow_Lesser_Poland_Province_Southern_Poland.html,https://www.tripadvisor.com//Restaurant_Review-g274772-d3331669-Reviews-Golonkarnia_Bar_Restauracja-Krakow_Lesser_Poland_Province_Southern_Poland.html
d9857169,0,0,1,Italian,1,8,0,1446,2038,1,+44 20 7241 4057,https://www.tripadvisor.com//Restaurant_Review-g186338-d9857169-Reviews-Franco_Manca_Stoke_Newington-London_England.html,https://www.tripadvisor.com//Restaurant_Review-g186338-d9857169-Reviews-Franco_Manca_Stoke_Newington-London_England.html
d12921076,0,0,1,Asian,1,6,0,1027,2115,0,+33 1 43 57 34 13,https://www.tripadvisor.com//Restaurant_Review-g187147-d12921076-Reviews-Be_BoBun-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d12921076-Reviews-Be_BoBun-Paris_Ile_de_France.html
d2239303,0,0,1,Italian,1,126,0,1442,4813,1,+39 02 4549 1088,https://www.tripadvisor.com//Restaurant_Review-g187849-d2239303-Reviews-Abbottega-Milan_Lombardy.html,https://www.tripadvisor.com//Restaurant_Review-g187849-d2239303-Reviews-Abbottega-Milan_Lombardy.html
d1337474,0,0,0,Italian,0,6,0,532,1643,0,+33 1 43 48 49 83,https://www.tripadvisor.com//Restaurant_Review-g187147-d1337474-Reviews-Il_Sorriso-Paris_Ile_de_France.html,https://www.tripadvisor.com//Restaurant_Review-g187147-d1337474-Reviews-Il_Sorriso-Paris_Ile_de_France.html
